FACILITY_ID,FACILITY_CODE,SYS_LOC_CODE,LOC_NAME,SAMPLE_ID,SYS_SAMPLE_CODE,SAMPLE_NAME,SAMPLE_DATE,SAMPLE_TYPE_CODE,START_DEPTH,END_DEPTH,DEPTH_UNIT,MATRIX_CODE,TASK_CODE,PARENT_SAMPLE_CODE,ANALYSIS_LOCATION,LAB_SAMPLE_ID,LAB_MATRIX_CODE,LAB_NAME_CODE,ANALYTIC_METHOD,ANALYSIS_DATE,COLUMN_NUMBER,FRACTION,TEST_TYPE,PREP_METHOD,LEACHATE_METHOD,LEACHATE_DATE,LAB_SDG,PERCENT_MOISTURE,DILUTION_FACTOR,TEST_ID,CAS_RN,CHEMICAL_NAME,ORGANIC_YN,REPORT_RESULT_TEXT,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,REPORTABLE_RESULT,DETECT_FLAG,INTERPRETED_QUALIFIERS,VALIDATOR_QUALIFIERS,LAB_QUALIFIERS,QUANTITATION_LIMIT,METHOD_DETECTION_LIMIT,REPORTING_DETECTION_LIMIT,DETECTION_LIMIT_UNIT,APPROVAL_CODE,RESULT_TEXT,RESULT_NUMERIC,RESULT_UNIT,RESULT_TYPE_CODE,X_COORD,Y_COORD,Z_COORD_AVG,ZFROM,ZTO,LONGITUDE,LATITUDE,DT_RESULT_REMARK,DT_TEST_REMARK,DT_SAMPLE_REMARK,CUSTOM_FIELD_2,CUSTOM_FIELD_1,STREAM_CODE,STREAM_MILE,TASK_CODE_2,BASIS
4,NJD980528996,R10,R10,276601,R10,R10,2/21/1990,N,0,0.5,ft,SE,1990 Surficial Sediment Investigation,,LB,,,,DIOXINS/FURANS,2/21/1990,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,659002,39001-02-0,Octachlorodibenzofuran,,25.0000000000,25,ppt,,Yes,Y,,,,,,,ppt,,,25,ppt,TRG,-74.16106893,40.94115013,99999998.75,99999999,99999998.5,-74.16106893,40.94115013,,,,,,PR,23.21649,,
4,NJD980528996,R10,R10,276601,R10,R10,2/21/1990,N,0,0.5,ft,SE,1990 Surficial Sediment Investigation,,LB,,,,DIOXINS/FURANS,2/21/1990,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,659002,39227-28-6,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",,,,ppt,,Yes,N,U,,U,,,,ppt,,,,ppt,TRG,-74.16106893,40.94115013,99999998.75,99999999,99999998.5,-74.16106893,40.94115013,U,,,,,PR,23.21649,,
4,NJD980528996,R10,R10,276601,R10,R10,2/21/1990,N,0,0.5,ft,SE,1990 Surficial Sediment Investigation,,LB,,,,DIOXINS/FURANS,2/21/1990,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,659002,40321-76-4,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",,,,ppt,,Yes,N,U,,U,,,,ppt,,,,ppt,TRG,-74.16106893,40.94115013,99999998.75,99999999,99999998.5,-74.16106893,40.94115013,U,,,,,PR,23.21649,,
4,NJD980528996,R10,R10,276601,R10,R10,2/21/1990,N,0,0.5,ft,SE,1990 Surficial Sediment Investigation,,LB,,,,DIOXINS/FURANS,2/21/1990,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,659002,41903-57-5,"Tetrachlorinated Dibenzo-p-dioxins, (Total)",,,,ppt,,Yes,N,U,,U,,,,ppt,,,,ppt,TRG,-74.16106893,40.94115013,99999998.75,99999999,99999998.5,-74.16106893,40.94115013,U,,,,,PR,23.21649,,
4,NJD980528996,R10,R10,276601,R10,R10,2/21/1990,N,0,0.5,ft,SE,1990 Surficial Sediment Investigation,,LB,,,,DIOXINS/FURANS,2/21/1990,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,659002,51207-31-9,"2,3,7,8-Tetrachlorodibenzofuran",,3.2000000000,3.2,ppt,,Yes,Y,,,,,,,ppt,,,3.2,ppt,TRG,-74.16106893,40.94115013,99999998.75,99999999,99999998.5,-74.16106893,40.94115013,,,,,,PR,23.21649,,
4,NJD980528996,R10,R10,276601,R10,R10,2/21/1990,N,0,0.5,ft,SE,1990 Surficial Sediment Investigation,,LB,,,,DIOXINS/FURANS,2/21/1990,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,659002,55673-89-7,"1,2,3,4,7,8,9-Heptachlorodibenzofuran",,,,ppt,,Yes,N,U,,U,,,,ppt,,,,ppt,TRG,-74.16106893,40.94115013,99999998.75,99999999,99999998.5,-74.16106893,40.94115013,U,,,,,PR,23.21649,,
4,NJD980528996,R10,R10,276601,R10,R10,2/21/1990,N,0,0.5,ft,SE,1990 Surficial Sediment Investigation,,LB,,,,DIOXINS/FURANS,2/21/1990,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,659002,55684-94-1,"Hexachlorinated Dibenzofurans, (Total)",,7.6000000000,7.6,ppt,,Yes,Y,,,,,,,ppt,,,7.6,ppt,TRG,-74.16106893,40.94115013,99999998.75,99999999,99999998.5,-74.16106893,40.94115013,,,,,,PR,23.21649,,
4,NJD980528996,R10,R10,276601,R10,R10,2/21/1990,N,0,0.5,ft,SE,1990 Surficial Sediment Investigation,,LB,,,,DIOXINS/FURANS,2/21/1990,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,659002,55722-27-5,"Tetrachlorinated Dibenzofurans, (Total)",,3.2000000000,3.2,ppt,,Yes,Y,,,,,,,ppt,,,3.2,ppt,TRG,-74.16106893,40.94115013,99999998.75,99999999,99999998.5,-74.16106893,40.94115013,,,,,,PR,23.21649,,
4,NJD980528996,R10,R10,276601,R10,R10,2/21/1990,N,0,0.5,ft,SE,1990 Surficial Sediment Investigation,,LB,,,,DIOXINS/FURANS,2/21/1990,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,659002,57117-31-4,"2,3,4,7,8-Pentachlorodibenzofuran",,,,ppt,,Yes,N,U,,U,,,,ppt,,,,ppt,TRG,-74.16106893,40.94115013,99999998.75,99999999,99999998.5,-74.16106893,40.94115013,U,,,,,PR,23.21649,,
4,NJD980528996,R10,R10,276601,R10,R10,2/21/1990,N,0,0.5,ft,SE,1990 Surficial Sediment Investigation,,LB,,,,DIOXINS/FURANS,2/21/1990,NA,N,INITIAL,,,,PREMIS_Phase2RIWP,,1,659002,57117-41-6,"1,2,3,7,8-Pentachlorodibenzofuran",,,,ppt,,Yes,N,U,,U,,,,ppt,,,,ppt,TRG,-74.16106893,40.94115013,99999998.75,99999999,99999998.5,-74.16106893,40.94115013,U,,,,,PR,23.21649,,
