,facility_code,sys_loc_code,loc_name,loc_group,loc_report_order,sys_sample_code,sample_name,sample_date,sample_type_code,sample_method,start_depth,end_depth,depth_unit,medium_code,matrix_code,species_code,tissue_type,geologic_unit_code,task_code,task_desc,field_sdg,parent_sample_code,analysis_location,lab_sample_id,lab_matrix_code,basis,lab_name_code,analytic_method,analysis_date,column_number,fraction,test_type,prep_method,leachate_method,leachate_date,lab_sdg,percent_moisture,dilution_factor,method_analyte_group,report_order,test_id,cas_rn,chemical_name,organic_yn,report_result_text,report_result_value,report_result_unit,report_result_limit,reportable_result,detect_flag,interpreted_qualifiers,validator_qualifiers,lab_qualifiers,quantitation_limit,method_detection_limit,reporting_detection_limit,detection_limit_unit,approval_code,result_text,result_numeric,result_unit,result_type_code,x_coord,y_coord,stream_mile,stream_code,z_coord_avg,zfrom,zto,longitude,latitude,sample_remark,test_remark,result_remark,validated_yn,validation_level
0,NJD980528996,JB401,Newark Bay Diamond Alkali,,,JB401-SED,Sediment Grab,2013-08-19 08:00:00,N,,0,2,cm,,SE,CLP ID: BAT61,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20639-1,SE,DRY,AXYS,E1613B,2013-11-28 08:46:05,1C,T,INITIAL,METHOD,,,BAT61,,1.0,,,381783,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",,0.64,0.64,ng/kg,0.64,Yes,N,U,U,U,0.64,0.132,0.64,ng/kg,,,,ng/kg,TRG,-73.880833,40.570817,,,-0.0328083,0,-0.0656166,-73.880833,40.570817,Jamaica Bay,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,U qualified data are reported at the RL,Y,CLP Validation
1,NJD980528996,JB401,Newark Bay Diamond Alkali,,,JB401-SED,Sediment Grab,2013-08-19 08:00:00,N,,0,2,cm,,SE,CLP ID: BAT61,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20639-1,SE,DRY,AXYS,E1613B,2013-11-28 08:46:05,1C,T,INITIAL,METHOD,,,BAT61,,1.0,,,381783,19408-74-3,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",,3.2,3.2,ng/kg,3.2,Yes,N,U,U,U,3.2,0.0985,3.2,ng/kg,,,,ng/kg,TRG,-73.880833,40.570817,,,-0.0328083,0,-0.0656166,-73.880833,40.570817,Jamaica Bay,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,U qualified data are reported at the RL,Y,CLP Validation
2,NJD980528996,JB401,Newark Bay Diamond Alkali,,,JB401-SED,Sediment Grab,2013-08-19 08:00:00,N,,0,2,cm,,SE,CLP ID: BAT61,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20639-1,SE,DRY,AXYS,E1613B,2013-11-28 08:46:05,1C,T,INITIAL,METHOD,,,BAT61,,1.0,,,381783,30402-15-4,"Pentachlorinated Dibenzofurans, (Total)",,3.2,3.2,ng/kg,3.2,Yes,N,U,U,U,,,3.2,ng/kg,,,,ng/kg,CAL,-73.880833,40.570817,,,-0.0328083,0,-0.0656166,-73.880833,40.570817,Jamaica Bay,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,U qualified data are reported at the RL,Y,CLP Validation
3,NJD980528996,JB401,Newark Bay Diamond Alkali,,,JB401-SED,Sediment Grab,2013-08-19 08:00:00,N,,0,2,cm,,SE,CLP ID: BAT61,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20639-1,SE,DRY,AXYS,E1613B,2013-11-28 08:46:05,1C,T,INITIAL,METHOD,,,BAT61,,1.0,,,381783,3268-87-9,Octachlorodibenzo-p-dioxin,,16.0,16.0,ng/kg,6.4,Yes,Y,,,,6.4,0.0796,6.4,ng/kg,,16.0,16.0,ng/kg,TRG,-73.880833,40.570817,,,-0.0328083,0,-0.0656166,-73.880833,40.570817,Jamaica Bay,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,,Y,CLP Validation
4,NJD980528996,JB401,Newark Bay Diamond Alkali,,,JB401-SED,Sediment Grab,2013-08-19 08:00:00,N,,0,2,cm,,SE,CLP ID: BAT61,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20639-1,SE,DRY,AXYS,E1613B,2013-11-28 08:46:05,1C,T,INITIAL,METHOD,,,BAT61,,1.0,,,381783,34465-46-8,"Hexachlorinated Dibenzo-p-dioxins, (Total)",,3.2,3.2,ng/kg,3.2,Yes,N,U,U,U,,,3.2,ng/kg,,,,ng/kg,CAL,-73.880833,40.570817,,,-0.0328083,0,-0.0656166,-73.880833,40.570817,Jamaica Bay,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,U qualified data are reported at the RL,Y,CLP Validation
5,NJD980528996,JB401,Newark Bay Diamond Alkali,,,JB401-SED,Sediment Grab,2013-08-19 08:00:00,N,,0,2,cm,,SE,CLP ID: BAT61,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20639-1,SE,DRY,AXYS,E1613B,2013-11-28 08:46:05,1C,T,INITIAL,METHOD,,,BAT61,,1.0,,,381783,35822-46-9,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",,3.2,3.2,ng/kg,3.2,Yes,N,U,U,U,3.2,0.0161,3.2,ng/kg,,,,ng/kg,TRG,-73.880833,40.570817,,,-0.0328083,0,-0.0656166,-73.880833,40.570817,Jamaica Bay,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,U qualified data are reported at the RL,Y,CLP Validation
6,NJD980528996,JB401,Newark Bay Diamond Alkali,,,JB401-SED,Sediment Grab,2013-08-19 08:00:00,N,,0,2,cm,,SE,CLP ID: BAT61,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20639-1,SE,DRY,AXYS,E1613B,2013-11-28 08:46:05,1C,T,INITIAL,METHOD,,,BAT61,,1.0,,,381783,36088-22-9,"Pentachlorinated Dibenzo-p-dioxins, (Total)",,3.2,3.2,ng/kg,3.2,Yes,N,U,U,U,,,3.2,ng/kg,,,,ng/kg,CAL,-73.880833,40.570817,,,-0.0328083,0,-0.0656166,-73.880833,40.570817,Jamaica Bay,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,U qualified data are reported at the RL,Y,CLP Validation
7,NJD980528996,JB401,Newark Bay Diamond Alkali,,,JB401-SED,Sediment Grab,2013-08-19 08:00:00,N,,0,2,cm,,SE,CLP ID: BAT61,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20639-1,SE,DRY,AXYS,E1613B,2013-11-28 08:46:05,1C,T,INITIAL,METHOD,,,BAT61,,1.0,,,381783,37871-00-4,"Heptachlorinated Dibenzo-p-dioxins, (Total)",,3.2,3.2,ng/kg,3.2,Yes,N,U,U,U,,,3.2,ng/kg,,,,ng/kg,CAL,-73.880833,40.570817,,,-0.0328083,0,-0.0656166,-73.880833,40.570817,Jamaica Bay,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,U qualified data are reported at the RL,Y,CLP Validation
8,NJD980528996,JB401,Newark Bay Diamond Alkali,,,JB401-SED,Sediment Grab,2013-08-19 08:00:00,N,,0,2,cm,,SE,CLP ID: BAT61,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20639-1,SE,DRY,AXYS,E1613B,2013-11-28 08:46:05,1C,T,INITIAL,METHOD,,,BAT61,,1.0,,,381783,38998-75-3,"Heptachlorinated Dibenzofurans, (Total)",,3.2,3.2,ng/kg,3.2,Yes,N,U,U,U,,,3.2,ng/kg,,,,ng/kg,CAL,-73.880833,40.570817,,,-0.0328083,0,-0.0656166,-73.880833,40.570817,Jamaica Bay,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,U qualified data are reported at the RL,Y,CLP Validation
9,NJD980528996,JB401,Newark Bay Diamond Alkali,,,JB401-SED,Sediment Grab,2013-08-19 08:00:00,N,,0,2,cm,,SE,CLP ID: BAT61,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20639-1,SE,DRY,AXYS,E1613B,2013-11-28 08:46:05,1C,T,INITIAL,METHOD,,,BAT61,,1.0,,,381783,39001-02-0,Octachlorodibenzofuran,,6.4,6.4,ng/kg,6.4,Yes,N,U,U,U,6.4,0.0302,6.4,ng/kg,,,,ng/kg,TRG,-73.880833,40.570817,,,-0.0328083,0,-0.0656166,-73.880833,40.570817,Jamaica Bay,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,U qualified data are reported at the RL,Y,CLP Validation
10,NJD980528996,JB401,Newark Bay Diamond Alkali,,,JB401-SED,Sediment Grab,2013-08-19 08:00:00,N,,0,2,cm,,SE,CLP ID: BAT61,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20639-1,SE,DRY,AXYS,E1613B,2013-11-28 08:46:05,1C,T,INITIAL,METHOD,,,BAT61,,1.0,,,381783,39227-28-6,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",,3.2,3.2,ng/kg,3.2,Yes,N,U,U,U,3.2,0.0939,3.2,ng/kg,,,,ng/kg,TRG,-73.880833,40.570817,,,-0.0328083,0,-0.0656166,-73.880833,40.570817,Jamaica Bay,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,U qualified data are reported at the RL,Y,CLP Validation
11,NJD980528996,JB401,Newark Bay Diamond Alkali,,,JB401-SED,Sediment Grab,2013-08-19 08:00:00,N,,0,2,cm,,SE,CLP ID: BAT61,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20639-1,SE,DRY,AXYS,E1613B,2013-11-28 08:46:05,1C,T,INITIAL,METHOD,,,BAT61,,1.0,,,381783,40321-76-4,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",,3.2,3.2,ng/kg,3.2,Yes,N,U,U,U,3.2,0.0706,3.2,ng/kg,,,,ng/kg,TRG,-73.880833,40.570817,,,-0.0328083,0,-0.0656166,-73.880833,40.570817,Jamaica Bay,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,U qualified data are reported at the RL,Y,CLP Validation
