,FACILITY_ID,FACILITY_CODE,SYS_LOC_CODE,LOC_NAME,SAMPLE_ID,SYS_SAMPLE_CODE,SAMPLE_NAME,SAMPLE_DATE,SAMPLE_TYPE_CODE,START_DEPTH,END_DEPTH,DEPTH_UNIT,MATRIX_CODE,TASK_CODE,PARENT_SAMPLE_CODE,ANALYSIS_LOCATION,LAB_SAMPLE_ID,LAB_MATRIX_CODE,LAB_NAME_CODE,ANALYTIC_METHOD,ANALYSIS_DATE,COLUMN_NUMBER,FRACTION,TEST_TYPE,PREP_METHOD,LEACHATE_METHOD,LEACHATE_DATE,LAB_SDG,PERCENT_MOISTURE,DILUTION_FACTOR,TEST_ID,CAS_RN,CHEMICAL_NAME,ORGANIC_YN,REPORT_RESULT_TEXT,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,REPORTABLE_RESULT,DETECT_FLAG,INTERPRETED_QUALIFIERS,VALIDATOR_QUALIFIERS,LAB_QUALIFIERS,QUANTITATION_LIMIT,METHOD_DETECTION_LIMIT,REPORTING_DETECTION_LIMIT,DETECTION_LIMIT_UNIT,APPROVAL_CODE,RESULT_TEXT,RESULT_NUMERIC,RESULT_UNIT,RESULT_TYPE_CODE,X_COORD,Y_COORD,Z_COORD_AVG,ZFROM,ZTO,LONGITUDE,LATITUDE,DT_RESULT_REMARK,DT_TEST_REMARK,DT_SAMPLE_REMARK,CUSTOM_FIELD_2,CUSTOM_FIELD_1,STREAM_CODE,STREAM_MILE,TASK_CODE_2,BASIS
0,4,NJD980528996,PR-99-BBD-SD-1,PR-99-BBD-SD-1,199827,PR-99-BBD-SD-1,PR-99-BBD-SD-1,1999-12-02 12:00:00,N,0,0.5,ft,SE,1999-2000 Minish Park Monitoring Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,AVS/SEM,1999-12-02 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,503015,7429-90-5,Aluminum,Y,105.0,105.0,UMOLES/G,,Yes,Y,,,,,,,UMOLES/G,,105.0,105.0,UMOLES/G,TRG,-74.1639707704,40.7387922995,9999998.75,9999999,9999998.5,-74.1639707704,40.7387922995,Historical-TSI Data,,,,,PR,4.993734,,
1,4,NJD980528996,PR-99-BBD-SD-1,PR-99-BBD-SD-1,199827,PR-99-BBD-SD-1,PR-99-BBD-SD-1,1999-12-02 12:00:00,N,0,0.5,ft,SE,1999-2000 Minish Park Monitoring Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,AVS/SEM,1999-12-02 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,503015,7439-89-6,Iron,Y,179.0,179.0,UMOLES/G,,Yes,Y,,,,,,,UMOLES/G,,179.0,179.0,UMOLES/G,TRG,-74.1639707704,40.7387922995,9999998.75,9999999,9999998.5,-74.1639707704,40.7387922995,Historical-TSI Data,,,,,PR,4.993734,,
2,4,NJD980528996,PR-99-BBD-SD-1,PR-99-BBD-SD-1,199827,PR-99-BBD-SD-1,PR-99-BBD-SD-1,1999-12-02 12:00:00,N,0,0.5,ft,SE,1999-2000 Minish Park Monitoring Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,AVS/SEM,1999-12-02 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,503015,7439-92-1,Lead,Y,0.877,0.877,UMOLES/G,,Yes,Y,,,,,,,UMOLES/G,,0.877,0.877,UMOLES/G,TRG,-74.1639707704,40.7387922995,9999998.75,9999999,9999998.5,-74.1639707704,40.7387922995,Historical-TSI Data,,,,,PR,4.993734,,
3,4,NJD980528996,PR-99-BBD-SD-1,PR-99-BBD-SD-1,199827,PR-99-BBD-SD-1,PR-99-BBD-SD-1,1999-12-02 12:00:00,N,0,0.5,ft,SE,1999-2000 Minish Park Monitoring Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,AVS/SEM,1999-12-02 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,503015,7439-95-4,Magnesium,Y,108.0,108.0,UMOLES/G,,Yes,Y,,,,,,,UMOLES/G,,108.0,108.0,UMOLES/G,TRG,-74.1639707704,40.7387922995,9999998.75,9999999,9999998.5,-74.1639707704,40.7387922995,Historical-TSI Data,,,,,PR,4.993734,,
4,4,NJD980528996,PR-99-BBD-SD-1,PR-99-BBD-SD-1,199827,PR-99-BBD-SD-1,PR-99-BBD-SD-1,1999-12-02 12:00:00,N,0,0.5,ft,SE,1999-2000 Minish Park Monitoring Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,AVS/SEM,1999-12-02 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,503015,7439-96-5,Manganese,Y,5.59,5.59,UMOLES/G,,Yes,Y,,,,,,,UMOLES/G,,5.59,5.59,UMOLES/G,TRG,-74.1639707704,40.7387922995,9999998.75,9999999,9999998.5,-74.1639707704,40.7387922995,Historical-TSI Data,,,,,PR,4.993734,,
5,4,NJD980528996,PR-99-BBD-SD-1,PR-99-BBD-SD-1,199827,PR-99-BBD-SD-1,PR-99-BBD-SD-1,1999-12-02 12:00:00,N,0,0.5,ft,SE,1999-2000 Minish Park Monitoring Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,AVS/SEM,1999-12-02 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,503015,7439-97-6,Mercury,Y,5.4e-05,5.4e-05,UMOLES/G,,Yes,Y,,,,,,,UMOLES/G,,5.4e-05,5.4e-05,UMOLES/G,TRG,-74.1639707704,40.7387922995,9999998.75,9999999,9999998.5,-74.1639707704,40.7387922995,Historical-TSI Data,,,,,PR,4.993734,,
6,4,NJD980528996,PR-99-BBD-SD-1,PR-99-BBD-SD-1,199827,PR-99-BBD-SD-1,PR-99-BBD-SD-1,1999-12-02 12:00:00,N,0,0.5,ft,SE,1999-2000 Minish Park Monitoring Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,AVS/SEM,1999-12-02 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,503015,7440-02-0,Nickel,Y,0.49,0.49,UMOLES/G,,Yes,Y,,,,,,,UMOLES/G,,0.49,0.49,UMOLES/G,TRG,-74.1639707704,40.7387922995,9999998.75,9999999,9999998.5,-74.1639707704,40.7387922995,Historical-TSI Data,,,,,PR,4.993734,,
7,4,NJD980528996,PR-99-BBD-SD-1,PR-99-BBD-SD-1,199827,PR-99-BBD-SD-1,PR-99-BBD-SD-1,1999-12-02 12:00:00,N,0,0.5,ft,SE,1999-2000 Minish Park Monitoring Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,AVS/SEM,1999-12-02 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,503015,7440-09-7,Potassium,,18.7,18.7,UMOLES/G,,Yes,Y,,,,,,,UMOLES/G,,18.7,18.7,UMOLES/G,TRG,-74.1639707704,40.7387922995,9999998.75,9999999,9999998.5,-74.1639707704,40.7387922995,Historical-TSI Data,,,,,PR,4.993734,,
8,4,NJD980528996,PR-99-BBD-SD-1,PR-99-BBD-SD-1,199827,PR-99-BBD-SD-1,PR-99-BBD-SD-1,1999-12-02 12:00:00,N,0,0.5,ft,SE,1999-2000 Minish Park Monitoring Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,AVS/SEM,1999-12-02 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,503015,7440-22-4,Silver,Y,0.003,0.003,UMOLES/G,,Yes,Y,,,,,,,UMOLES/G,,0.003,0.003,UMOLES/G,TRG,-74.1639707704,40.7387922995,9999998.75,9999999,9999998.5,-74.1639707704,40.7387922995,Historical-TSI Data,,,,,PR,4.993734,,
9,4,NJD980528996,PR-99-BBD-SD-1,PR-99-BBD-SD-1,199827,PR-99-BBD-SD-1,PR-99-BBD-SD-1,1999-12-02 12:00:00,N,0,0.5,ft,SE,1999-2000 Minish Park Monitoring Program,,LB,UNKNOWN-HISTORICAL,SE,UNKNOWN,AVS/SEM,1999-12-02 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,503015,7440-23-5,Sodium,Y,260.0,260.0,UMOLES/G,,Yes,Y,,,,,,,UMOLES/G,,260.0,260.0,UMOLES/G,TRG,-74.1639707704,40.7387922995,9999998.75,9999999,9999998.5,-74.1639707704,40.7387922995,Historical-TSI Data,,,,,PR,4.993734,,
