,FACILITY_ID,FACILITY_CODE,SYS_LOC_CODE,LOC_NAME,SAMPLE_ID,SYS_SAMPLE_CODE,SAMPLE_NAME,SAMPLE_DATE,SAMPLE_TYPE_CODE,START_DEPTH,END_DEPTH,DEPTH_UNIT,MATRIX_CODE,TASK_CODE,PARENT_SAMPLE_CODE,ANALYSIS_LOCATION,LAB_SAMPLE_ID,LAB_MATRIX_CODE,LAB_NAME_CODE,ANALYTIC_METHOD,ANALYSIS_DATE,COLUMN_NUMBER,FRACTION,TEST_TYPE,PREP_METHOD,LEACHATE_METHOD,LEACHATE_DATE,LAB_SDG,PERCENT_MOISTURE,DILUTION_FACTOR,TEST_ID,CAS_RN,CHEMICAL_NAME,ORGANIC_YN,REPORT_RESULT_TEXT,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,REPORTABLE_RESULT,DETECT_FLAG,INTERPRETED_QUALIFIERS,VALIDATOR_QUALIFIERS,LAB_QUALIFIERS,QUANTITATION_LIMIT,METHOD_DETECTION_LIMIT,REPORTING_DETECTION_LIMIT,DETECTION_LIMIT_UNIT,APPROVAL_CODE,RESULT_TEXT,RESULT_NUMERIC,RESULT_UNIT,RESULT_TYPE_CODE,X_COORD,Y_COORD,Z_COORD_AVG,ZFROM,ZTO,LONGITUDE,LATITUDE,DT_RESULT_REMARK,DT_TEST_REMARK,DT_SAMPLE_REMARK,CUSTOM_FIELD_2,CUSTOM_FIELD_1,STREAM_CODE,STREAM_MILE,TASK_CODE_2,BASIS
10,4,NJD980528996,PR01TIAE-1,PR01TIAE-1,199962,PR01TIAE-1,PR01TIAE-1,2001-08-09 12:00:00,N,,,,TA,2001 Supplemental ESP Biota Sampling,,LB,UNKNOWN-HISTORICAL,TA,UNKNOWN,BNASIM,2001-08-09 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,504265,208-96-8,Acenaphthylene,Y,0.9,0.9,ug/kg,,Yes,Y,GNJ,,GNJ,,,,ug/kg,,0.9,0.9,ug/kg,TRG,-74.1642047745,40.7566289398,,,,-74.1642047745,40.7566289398,Historical-TSI Data,,,Fillet - skin on,American Eel,PR,6.239127,,
11,4,NJD980528996,PR01TIAE-1,PR01TIAE-1,199962,PR01TIAE-1,PR01TIAE-1,2001-08-09 12:00:00,N,,,,TA,2001 Supplemental ESP Biota Sampling,,LB,UNKNOWN-HISTORICAL,TA,UNKNOWN,BNASIM,2001-08-09 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,504265,218-01-9,Chrysene,Y,1.1,1.1,ug/kg,,Yes,Y,GNJ,,GNJ,,,,ug/kg,,1.1,1.1,ug/kg,TRG,-74.1642047745,40.7566289398,,,,-74.1642047745,40.7566289398,Historical-TSI Data,,,Fillet - skin on,American Eel,PR,6.239127,,
12,4,NJD980528996,PR01TIAE-1,PR01TIAE-1,199962,PR01TIAE-1,PR01TIAE-1,2001-08-09 12:00:00,N,,,,TA,2001 Supplemental ESP Biota Sampling,,LB,UNKNOWN-HISTORICAL,TA,UNKNOWN,BNASIM,2001-08-09 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,504265,2245-38-7,"1,6,7-Trimethylnapthalene",,15.0,15.0,ug/kg,15.0,Yes,N,U,,U,,,15.0,ug/kg,,,,ug/kg,TRG,-74.1642047745,40.7566289398,,,,-74.1642047745,40.7566289398,Historical-TSI Data,,,Fillet - skin on,American Eel,PR,6.239127,,
13,4,NJD980528996,PR01TIAE-1,PR01TIAE-1,199962,PR01TIAE-1,PR01TIAE-1,2001-08-09 12:00:00,N,,,,TA,2001 Supplemental ESP Biota Sampling,,LB,UNKNOWN-HISTORICAL,TA,UNKNOWN,BNASIM,2001-08-09 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,504265,50-32-8,Benzo(a)pyrene,Y,10.0,10.0,ug/kg,10.0,Yes,N,U,,U,,,10.0,ug/kg,,,,ug/kg,TRG,-74.1642047745,40.7566289398,,,,-74.1642047745,40.7566289398,Historical-TSI Data,,,Fillet - skin on,American Eel,PR,6.239127,,
14,4,NJD980528996,PR01TIAE-1,PR01TIAE-1,199962,PR01TIAE-1,PR01TIAE-1,2001-08-09 12:00:00,N,,,,TA,2001 Supplemental ESP Biota Sampling,,LB,UNKNOWN-HISTORICAL,TA,UNKNOWN,BNASIM,2001-08-09 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,504265,53-70-3,"Dibenz(a,h)anthracene",Y,10.0,10.0,ug/kg,10.0,Yes,N,U,,U,,,10.0,ug/kg,,,,ug/kg,TRG,-74.1642047745,40.7566289398,,,,-74.1642047745,40.7566289398,Historical-TSI Data,,,Fillet - skin on,American Eel,PR,6.239127,,
15,4,NJD980528996,PR01TIAE-1,PR01TIAE-1,199962,PR01TIAE-1,PR01TIAE-1,2001-08-09 12:00:00,N,,,,TA,2001 Supplemental ESP Biota Sampling,,LB,UNKNOWN-HISTORICAL,TA,UNKNOWN,BNASIM,2001-08-09 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,504265,56-55-3,Benzo(a)anthracene,Y,0.3,0.3,ug/kg,,Yes,Y,GNJ,,GNJ,,,,ug/kg,,0.3,0.3,ug/kg,TRG,-74.1642047745,40.7566289398,,,,-74.1642047745,40.7566289398,Historical-TSI Data,,,Fillet - skin on,American Eel,PR,6.239127,,
16,4,NJD980528996,PR01TIAE-1,PR01TIAE-1,199962,PR01TIAE-1,PR01TIAE-1,2001-08-09 12:00:00,N,,,,TA,2001 Supplemental ESP Biota Sampling,,LB,UNKNOWN-HISTORICAL,TA,UNKNOWN,BNASIM,2001-08-09 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,504265,581-42-0,"2,6-Dimethylnapthalene",,1.1,1.1,ug/kg,,Yes,Y,G,,G,,,,ug/kg,,1.1,1.1,ug/kg,TRG,-74.1642047745,40.7566289398,,,,-74.1642047745,40.7566289398,Historical-TSI Data,,,Fillet - skin on,American Eel,PR,6.239127,,
17,4,NJD980528996,PR01TIAE-1,PR01TIAE-1,199962,PR01TIAE-1,PR01TIAE-1,2001-08-09 12:00:00,N,,,,TA,2001 Supplemental ESP Biota Sampling,,LB,UNKNOWN-HISTORICAL,TA,UNKNOWN,BNASIM,2001-08-09 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,504265,83-32-9,Acenaphthene,Y,36.1,36.1,ug/kg,,Yes,Y,,,,,,,ug/kg,,36.1,36.1,ug/kg,TRG,-74.1642047745,40.7566289398,,,,-74.1642047745,40.7566289398,Historical-TSI Data,,,Fillet - skin on,American Eel,PR,6.239127,,
18,4,NJD980528996,PR01TIAE-1,PR01TIAE-1,199962,PR01TIAE-1,PR01TIAE-1,2001-08-09 12:00:00,N,,,,TA,2001 Supplemental ESP Biota Sampling,,LB,UNKNOWN-HISTORICAL,TA,UNKNOWN,BNASIM,2001-08-09 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,504265,832-69-9,1-Methylphenanthrene,,10.0,10.0,ug/kg,10.0,Yes,N,U,,U,,,10.0,ug/kg,,,,ug/kg,TRG,-74.1642047745,40.7566289398,,,,-74.1642047745,40.7566289398,Historical-TSI Data,,,Fillet - skin on,American Eel,PR,6.239127,,
19,4,NJD980528996,PR01TIAE-1,PR01TIAE-1,199962,PR01TIAE-1,PR01TIAE-1,2001-08-09 12:00:00,N,,,,TA,2001 Supplemental ESP Biota Sampling,,LB,UNKNOWN-HISTORICAL,TA,UNKNOWN,BNASIM,2001-08-09 12:00:00,,N,INITIAL,,,,TSI PRSA V.4.0,,1,504265,85-01-8,Phenanthrene,Y,4.1,4.1,ug/kg,,Yes,Y,G,,G,,,,ug/kg,,4.1,4.1,ug/kg,TRG,-74.1642047745,40.7566289398,,,,-74.1642047745,40.7566289398,Historical-TSI Data,,,Fillet - skin on,American Eel,PR,6.239127,,
