,FACILITY_ID,FACILITY_CODE,SYS_LOC_CODE,LOC_NAME,SAMPLE_ID,SYS_SAMPLE_CODE,SAMPLE_NAME,SAMPLE_DATE,SAMPLE_TYPE_CODE,START_DEPTH,END_DEPTH,DEPTH_UNIT,MATRIX_CODE,TASK_CODE,PARENT_SAMPLE_CODE,ANALYSIS_LOCATION,LAB_SAMPLE_ID,LAB_MATRIX_CODE,LAB_NAME_CODE,ANALYTIC_METHOD,ANALYSIS_DATE,COLUMN_NUMBER,FRACTION,TEST_TYPE,PREP_METHOD,LEACHATE_METHOD,LEACHATE_DATE,LAB_SDG,PERCENT_MOISTURE,DILUTION_FACTOR,TEST_ID,CAS_RN,CHEMICAL_NAME,ORGANIC_YN,REPORT_RESULT_TEXT,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,REPORTABLE_RESULT,DETECT_FLAG,INTERPRETED_QUALIFIERS,VALIDATOR_QUALIFIERS,LAB_QUALIFIERS,QUANTITATION_LIMIT,METHOD_DETECTION_LIMIT,REPORTING_DETECTION_LIMIT,DETECTION_LIMIT_UNIT,APPROVAL_CODE,RESULT_TEXT,RESULT_NUMERIC,RESULT_UNIT,RESULT_TYPE_CODE,X_COORD,Y_COORD,Z_COORD_AVG,ZFROM,ZTO,LONGITUDE,LATITUDE,DT_RESULT_REMARK,DT_TEST_REMARK,DT_SAMPLE_REMARK,CUSTOM_FIELD_2,STREAM_CODE,STREAM_MILE,TASK_CODE_2,BASIS,CUSTOM_FIELD_1
20,4,NJD980528996,LPRP-00500,LPRP-00500,215672,LPRP-SCSS-PSR-000500,LPRP-SCSS-PSR-000500,2004-07-12 16:36:00,N,0,1,ft,SE,2004 EarthTech SED Coring Pilot Project,,FI,C0707-13A,SE,,MC PEST(S),2004-07-12 16:36:00,,N,INITIAL,,,,416643,,1,533093,72-20-8,Endrin,Y,9.4,9.4,ug/kg,9.4,Yes,N,UJ,UJ,U,,,9.4,ug/kg,,,9.4,ug/kg,TRG,-74.13141389,40.74214264,-0.5,0,-1,-74.13141389,40.74214264,SCSH-Original Sample Type - Premis Survey ID 790,,,,,,2004 Dredge Pilot Coring Program,,
21,4,NJD980528996,LPRP-00500,LPRP-00500,215672,LPRP-SCSS-PSR-000500,LPRP-SCSS-PSR-000500,2004-07-12 16:36:00,N,0,1,ft,SE,2004 EarthTech SED Coring Pilot Project,,FI,C0707-13A,SE,,MC PEST(S),2004-07-12 16:36:00,,N,INITIAL,,,,416643,,1,533093,72-43-5,Methoxychlor,Y,49.0,49.0,ug/kg,49.0,Yes,N,UJ,UJ,U,,,49.0,ug/kg,,,49.0,ug/kg,TRG,-74.13141389,40.74214264,-0.5,0,-1,-74.13141389,40.74214264,SCSH-Original Sample Type - Premis Survey ID 790,,,,,,2004 Dredge Pilot Coring Program,,
22,4,NJD980528996,LPRP-00500,LPRP-00500,215672,LPRP-SCSS-PSR-000500,LPRP-SCSS-PSR-000500,2004-07-12 16:36:00,N,0,1,ft,SE,2004 EarthTech SED Coring Pilot Project,,FI,C0707-13A,SE,,MC PEST(S),2004-07-12 16:36:00,,N,INITIAL,,,,416643,,1,533093,72-54-8,"p,p'-DDD",Y,20.0,20.0,ug/kg,,Yes,Y,J,J,,,,,ug/kg,,20.0,20.0,ug/kg,TRG,-74.13141389,40.74214264,-0.5,0,-1,-74.13141389,40.74214264,SCSH-Original Sample Type - Premis Survey ID 790,,,,,,2004 Dredge Pilot Coring Program,,
23,4,NJD980528996,LPRP-00500,LPRP-00500,215672,LPRP-SCSS-PSR-000500,LPRP-SCSS-PSR-000500,2004-07-12 16:36:00,N,0,1,ft,SE,2004 EarthTech SED Coring Pilot Project,,FI,C0707-13A,SE,,MC PEST(S),2004-07-12 16:36:00,,N,INITIAL,,,,416643,,1,533093,72-55-9,"p,p'-DDE",Y,23.0,23.0,ug/kg,,Yes,Y,J,J,,,,,ug/kg,,23.0,23.0,ug/kg,TRG,-74.13141389,40.74214264,-0.5,0,-1,-74.13141389,40.74214264,SCSH-Original Sample Type - Premis Survey ID 790,,,,,,2004 Dredge Pilot Coring Program,,
24,4,NJD980528996,LPRP-00500,LPRP-00500,215672,LPRP-SCSS-PSR-000500,LPRP-SCSS-PSR-000500,2004-07-12 16:36:00,N,0,1,ft,SE,2004 EarthTech SED Coring Pilot Project,,FI,C0707-13A,SE,,MC PEST(S),2004-07-12 16:36:00,,N,INITIAL,,,,416643,,1,533093,7421-93-4,Endrin aldehyde,Y,9.4,9.4,ug/kg,9.4,Yes,N,UJ,UJ,U,,,9.4,ug/kg,,,9.4,ug/kg,TRG,-74.13141389,40.74214264,-0.5,0,-1,-74.13141389,40.74214264,SCSH-Original Sample Type - Premis Survey ID 790,,,,,,2004 Dredge Pilot Coring Program,,
25,4,NJD980528996,LPRP-00500,LPRP-00500,215672,LPRP-SCSS-PSR-000500,LPRP-SCSS-PSR-000500,2004-07-12 16:36:00,N,0,1,ft,SE,2004 EarthTech SED Coring Pilot Project,,FI,C0707-13A,SE,,MC PEST(S),2004-07-12 16:36:00,,N,INITIAL,,,,416643,,1,533093,76-44-8,Heptachlor,Y,4.9,4.9,ug/kg,4.9,Yes,N,UJ,UJ,U,,,4.9,ug/kg,,,4.9,ug/kg,TRG,-74.13141389,40.74214264,-0.5,0,-1,-74.13141389,40.74214264,SCSH-Original Sample Type - Premis Survey ID 790,,,,,,2004 Dredge Pilot Coring Program,,
26,4,NJD980528996,LPRP-00500,LPRP-00500,215672,LPRP-SCSS-PSR-000500,LPRP-SCSS-PSR-000500,2004-07-12 16:36:00,N,0,1,ft,SE,2004 EarthTech SED Coring Pilot Project,,FI,C0707-13A,SE,,MC PEST(S),2004-07-12 16:36:00,,N,INITIAL,,,,416643,,1,533093,8001-35-2,Toxaphene,Y,490.0,490.0,ug/kg,490.0,Yes,N,UJ,UJ,U,,,490.0,ug/kg,,,490.0,ug/kg,TRG,-74.13141389,40.74214264,-0.5,0,-1,-74.13141389,40.74214264,SCSH-Original Sample Type - Premis Survey ID 790,,,,,,2004 Dredge Pilot Coring Program,,
27,4,NJD980528996,LPRP-00500,LPRP-00500,215672,LPRP-SCSS-PSR-000500,LPRP-SCSS-PSR-000500,2004-07-12 16:36:00,N,0,1,ft,SE,2004 EarthTech SED Coring Pilot Project,,FI,C0707-13A,SE,,MC PEST(S),2004-07-12 16:36:00,,N,INITIAL,,,,416643,,1,533093,959-98-8,alpha-Endosulfan,Y,4.9,4.9,ug/kg,4.9,Yes,N,UJ,UJ,U,,,4.9,ug/kg,,,4.9,ug/kg,TRG,-74.13141389,40.74214264,-0.5,0,-1,-74.13141389,40.74214264,SCSH-Original Sample Type - Premis Survey ID 790,,,,,,2004 Dredge Pilot Coring Program,,
28,4,NJD980528996,LPRP-00500,LPRP-00500,215672,LPRP-SCSS-PSR-000500,LPRP-SCSS-PSR-000500,2004-07-12 16:36:00,N,0,1,ft,SE,2004 EarthTech SED Coring Pilot Project,,FI,V5F3866,SE,,MC VOA(LS),2004-07-12 16:36:00,,N,INITIAL,,,,418992,,1,533094,100-41-4,Ethylbenzene,Y,43.0,43.0,ug/kg,43.0,Yes,N,UJ,UJ,U,,,43.0,ug/kg,,,43.0,ug/kg,TRG,-74.13141389,40.74214264,-0.5,0,-1,-74.13141389,40.74214264,SCSH-Original Sample Type - Premis Survey ID 790,,,,,,2004 Dredge Pilot Coring Program,,
29,4,NJD980528996,LPRP-00500,LPRP-00500,215672,LPRP-SCSS-PSR-000500,LPRP-SCSS-PSR-000500,2004-07-12 16:36:00,N,0,1,ft,SE,2004 EarthTech SED Coring Pilot Project,,FI,V5F3866,SE,,MC VOA(LS),2004-07-12 16:36:00,,N,INITIAL,,,,418992,,1,533094,100-42-5,Styrene,Y,43.0,43.0,ug/kg,43.0,Yes,N,UJ,UJ,U,,,43.0,ug/kg,,,43.0,ug/kg,TRG,-74.13141389,40.74214264,-0.5,0,-1,-74.13141389,40.74214264,SCSH-Original Sample Type - Premis Survey ID 790,,,,,,2004 Dredge Pilot Coring Program,,
