Site_Operator,Site_Address,Latitude,Longitude,Main_Contaminant _Category,Description_of_Operations,Property at Issue Shorthand,River Mile (RM),Beginning Year of Operations,End Year of Operations,Main COCs,List of COCs Manufactured On-Site,List of COCs Involved in Operations,List of COCs that are by-product/waste,On-site Soil/Groundwater Contaminants,Party Responsible for Remediation,Party Associated with Site
STWB Inc.,"104-112 Lister Ave., Newark NJ",40.7390369,-74.1342955,copper,"produced phthalocyanine colors, transoxides for the textile industry, D&C colors for the drug and cosmetic industry, 2,4,2-Schaeffer salt, and florescein dyes",,,1986,,"PAHs
PCBs
copper
lead
mercury",,"PCBs
chlorinated naphthalenes
chlorine
copper
dioxin-associated compounds
dioxins
furans
lead
mercury
phthalic anhydride
trichlorobenzene",,"PAHs
PCBs
copper
dichlorobenzene
hexachlorobenzene
lead
mercury
other hazardous substances
trichlorobenzene",STWB Inc.,STWB Inc.
Sun Chemical Corporation,"185 Foundry Street, Newark NJ",40.7284626,-74.1325752,mercury,manufactured organic pigments for automotive paints and plastics,,,1986/1987,2003,"PAHs
PCBs
copper
lead
mercury",,"PCBs
acetic acid
arsenic
bis(2-ethylhexyl) phthalate
cadmium
chromium
dianilinoterephthalic acid
ditoluidinoteriphthalic acid
ethylbenzene
lead
methanol
phosphoric acid
sodium hydroxide
toluene
xylenes",,"PCBs
base neutrals
copper
lead
mercury
other priority pollutant metals
petroleum hydrocarbons
volatile organic compounds",Sun Chemical Corporation,Sun Chemical Corporation
Sun Oil,"436 Doremus Ave., Newark NJ",40.717663,-74.12473,PAHs,"shipped, stored, and distributed petroleum products",,0-0.5,1916,present,"PAHs
PCBs
copper
lead",,"PAHs
fuel oil
oil products
oil/water separator wastes
petroleum sludge
tank bottom solids
waste crank oil",,"PAHs
PCBs
iron
lead
volatile organic compounds","Sunoco (R&M), LLC
Sunoco Partners Marketing & Terminals L.P.",The two Sunoco Parties
Tate & Lyle Ingredients Americas LLC,"100 Third Ave., Kearny NJ",40.7584422,-74.1409105,copper,"manufactured polymers, rubber-based adhesives, and leather finishes",,,,1978,"copper
lead
mercury",,"chromium
copper
ethyl acrylate
lead
mercury
nickel
silver",,,Tate & Lyle Ingredients Americas LLC,Tate & Lyle Ingredients Americas LLC
"Textron, Inc.","400 Doremus Ave., Newark NJ",40.719338,-74.12474,lead,manufactured chemicals and resins,,,1978,,"PAHs
PCBs
copper
lead
mercury","alkyd resin
polyester resin","PAHs
dioxin-associated compounds",,"PAHs
PCBs
copper
lead
mercury","Textron, Inc.","Textron, Inc."
The Hartz Mountain Corporation,"600 and 700 Blocks, South 4th Street, Harrison NJ",40.751911,-74.1575674,PCBs,"manufactured, assembled, warehoused, and distributed pet supplies and pet foods",,,1970,1993 (at least),"PAHs
PCBs
copper
lead
mercury",,"acetylene
battery acid
dimethyl ether
fungicides
kerosene
pesticides","chlorides
grease
lead
mercury
oil
pesticides
volatile solids
volatile solvents","PCBs
copper
lead
nickel",The Hartz Mountain Corporation,The Hartz Mountain Corporation
"The Newark Group, Inc.","17 Blanchard Street, Newark NJ",40.7354903,-74.1286149,lead,"manufactured recycled paperboard into plain, laminating, partition and lined chip finished products",,,late 1890s,,"PCBs
copper
dioxin-associated compounds
lead
mercury",,"PCBs
copper
lead
mercury","arsenic
copper
lead
mercury",,"The Newark Group, Inc.","The Newark Group, Inc."
"The Okonite Company, Inc.","Block 1076, Canal and Jefferson Streets, Passaic City NJ",40.863587,-74.1220863,PAHs,"manufactured insulated electrical wires, cables, tape and splicing tape",,,at least 1973,,"PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",,trichloroethylene,PAHs,"copper
dioxin-associated compounds
lead
mercury
petroleum hydrocarbons
zinc",,The Okonite Company
The Sherwin-Williams Company,"40, 60, 62-70 Lister Ave., Newark",40.7390409,-74.1383097,dioxins,manufactured paints and related products and DDT and stored insecticides,Sherwin Williams Site,,1902,1999,"DDT
PAHs
PCBs
copper
dieldrin
lead
mercury",,,,,,The Sherwin-Williams Company
Tiffany and Company,"820 Highland Ave., Newark NJ",40.7842969,-74.1662694,lead,"produced sterling silver and manufactured flatware, hollowware, and fancy goods",,,1897,1985,"PAHs
copper
lead
mercury",,"hydrofluoric acid
nitric acid
sulfuric acid",,"PAHs
copper
lead
mercury",Tiffany and Company,Tiffany and Company
United Piece Dye Works,"199 and 205 Main Street, Lodi NJ",40.8807338,-74.0841797,PCBs,"manufactured dyestuffs, pharmaceuticals, synthetic organic chemicals, inorganic chemicals, fine chemicals, industrial cleaning solutions, and resins",Main Street Property,,1800s,1957,"PAHs
PCBs
copper
dioxins
lead
mercury",,,,"1,2-dichlorobenzene
PAHs
antimony
arsenic
chlorinated organic compounds
copper
lead
mercury
nonchlorinated organic compounds
tetrachloroethene
toluene","Chargeurs, Inc.","Chargeurs, Inc."
United Piece Dye Works,"42 Arnot Street, Lodi NJ",40.8787779,-74.0871461,PCBs,"held ""slime coal"" waste piles, above-ground storage tanks, coal ash waste piles, coal storage and two large water reservoirs",Arnot Property,,1910,1959,"PAHs
PCBs
copper
dioxins
lead
mercury",,,"PCBs
chromium
lead","PCBs
lead","Chargeurs, Inc.","Chargeurs, Inc."
United States Steel Corporation,"100 Central Ave., Kearny NJ",40.7313136,-74.1137761,PAHs,built and repaired merchant and war ships,,,1917,1948,"PAHs
copper
lead
mercury",,"PAHs
copper
lead
mercury",,"PAHs
chromium
chrysene
copper
lead
mercury
naphthalene
trichloroethene
zinc","RTC Properties, Inc.
United States Steel Corporation",United States Steel Corporation
Vulcan Materials Corp.,"600 Doremus Ave., Newark NJ",40.7133185,-74.1298495,lead,manufactured chemicals,,,1952,1975,"DDT
PAHs
PCBs
copper
dioxins
lead
mercury",,"DDT
ahydrous flake caustic soda
benzyl benzoate
carbon tetrachloride
chlorine
chloroform
cresyl diphenyl phosphate
dibutyl phthalate
dimethyl phthalate
hexachlorocyclohexane
hydrochloric acid
hydrogen
hydrogen chloride
iron
isophthalic acid
lead
methyl bromide
methyl chloride
methylene chloride
organic chemicals
organochlorine
organophosphorus
pentachlorophenol
phthalic anhydride
plasticizers
sodium hypochlorite
solid caustic soda
tetraphthalic acid
tin
tricresyl phosphate
zinc chloride","chlorinated hydrocarbons
chlorinated organics
lead
zinc","PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury
pentaclorophenol","Legacy Vulcan, LLC","Legacy Vulcan, LLC"
"Wallace & Tiernan, Inc.","25 Main Stret, Belleville NJ",40.7815716,-74.1500076,copper,"WTI manufactured measurement and control equipment, including chlorinators, pressure instruments, flow meters, dry chemical feed systems, and cathodic protection systems",,,1913,1997,"copper
mercury",,"cadmium
chrome
copper
nickel","copper plating solution
flammable solvents
lead waste
waste painting materials","cadmium
copper
mercury
nickel",Arkema Inc.,Arkema Inc.
Western Electric,"100 Central Ave., Kearny NJ",40.7313136,-74.1137761,PCBs,"manufactured switchboards, wiring, telecommunications equipment, mercury relays, transformers; operated a powerhouse",,,,,"PAHs
PCBs
copper
lead
mercury",,"PAHs
PCBs
asbestos
beryllium
chromium
copper
cyanide
lead
mercury
nickel
silver
zinc",,"PCBs
mercury",Nokia of America Corporation,Nokia of America Corporation
Westinghouse Electric,"95 Orange Street, Newark NJ",40.7462065,-74.1714358,copper,manufactured relay instrument and electrical equipment,,,1893,1983,"copper
lead
mercury",,"Pyranol A
copper
cutting-oil waste
lead","caustic soda
copper
grease
lead
mercury
oil","PAHs
PCBs
copper
dieldrin compounds
dioxin-associated compounds
lead
mercury",,ViacomCBS Inc. (f/k/a CBS Corporation)
"Wiggins Plastics, Inc.","180 Kingsland Road, Clifton NJ",40.8273,-74.1421173,PCBs,"manufactured thermoset and thermoplastic components for electronic, electrical and mechanical use",,,1955,present,"PAHs
PCBs
copper
dioxin-associated compounds
dioxins
lead
mercury",,"PAHs
PCBs
benzene
copper
iron
petroleum hydrocarbons
toluene
xylenes",hazardous substances,"arsenic
chlorobenzene
chloroform
copper
lead
mercury
methylene chloride
toluene","Wiggins Plastics, Inc.","Wiggins Plastics, Inc."
