,LOC_NAME,SAMPLE_DATE,TASK_CODE,ANALYTIC_METHOD,CAS_RN,CHEMICAL_NAME,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,DETECT_FLAG,REPORTABLE_RESULT,LONGITUDE,LATITUDE
24,Newark Bay Diamond Alkali,2013-08-19 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,72918-21-9,"1,2,3,7,8,9-Hexachlorodibenzofuran",3.2,ng/kg,3.2,N,Yes,-73.880833,40.570817
25,Newark Bay Diamond Alkali,2013-08-21 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,51207-31-9,"2,3,7,8-Tetrachlorodibenzofuran",2.3,ng/kg,0.72,Y,Yes,-73.859717,40.590383
26,Newark Bay Diamond Alkali,2013-08-21 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",1.0,ng/kg,0.72,Y,Yes,-73.859717,40.590383
27,Newark Bay Diamond Alkali,2013-08-21 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,19408-74-3,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",3.6,ng/kg,3.6,N,Yes,-73.859717,40.590383
28,Newark Bay Diamond Alkali,2013-08-21 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,30402-15-4,"Pentachlorinated Dibenzofurans, (Total)",4.3,ng/kg,,Y,Yes,-73.859717,40.590383
29,Newark Bay Diamond Alkali,2013-08-21 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,3268-87-9,Octachlorodibenzo-p-dioxin,270.0,ng/kg,7.2,Y,Yes,-73.859717,40.590383
30,Newark Bay Diamond Alkali,2013-08-21 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,34465-46-8,"Hexachlorinated Dibenzo-p-dioxins, (Total)",17.0,ng/kg,,Y,Yes,-73.859717,40.590383
31,Newark Bay Diamond Alkali,2013-08-21 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,35822-46-9,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",26.0,ng/kg,3.6,Y,Yes,-73.859717,40.590383
32,Newark Bay Diamond Alkali,2013-08-21 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,36088-22-9,"Pentachlorinated Dibenzo-p-dioxins, (Total)",3.6,ng/kg,3.6,N,Yes,-73.859717,40.590383
33,Newark Bay Diamond Alkali,2013-08-21 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,37871-00-4,"Heptachlorinated Dibenzo-p-dioxins, (Total)",66.0,ng/kg,,Y,Yes,-73.859717,40.590383
34,Newark Bay Diamond Alkali,2013-08-21 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,38998-75-3,"Heptachlorinated Dibenzofurans, (Total)",12.0,ng/kg,,Y,Yes,-73.859717,40.590383
35,Newark Bay Diamond Alkali,2013-08-21 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,39001-02-0,Octachlorodibenzofuran,10.0,ng/kg,7.2,Y,Yes,-73.859717,40.590383
36,Newark Bay Diamond Alkali,2013-08-21 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,39227-28-6,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",3.6,ng/kg,3.6,N,Yes,-73.859717,40.590383
37,Newark Bay Diamond Alkali,2013-08-21 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,40321-76-4,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",3.6,ng/kg,3.6,N,Yes,-73.859717,40.590383
38,Newark Bay Diamond Alkali,2013-08-21 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,41903-57-5,"Tetrachlorinated Dibenzo-p-dioxins, (Total)",6.6,ng/kg,,Y,Yes,-73.859717,40.590383
39,Newark Bay Diamond Alkali,2013-08-21 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,55673-89-7,"1,2,3,4,7,8,9-Heptachlorodibenzofuran",3.6,ng/kg,3.6,N,Yes,-73.859717,40.590383
40,Newark Bay Diamond Alkali,2013-08-21 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,55684-94-1,"Hexachlorinated Dibenzofurans, (Total)",3.8,ng/kg,,Y,Yes,-73.859717,40.590383
41,Newark Bay Diamond Alkali,2013-08-21 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,55722-27-5,"Tetrachlorinated Dibenzofurans, (Total)",16.0,ng/kg,,Y,Yes,-73.859717,40.590383
42,Newark Bay Diamond Alkali,2013-08-21 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,57117-31-4,"2,3,4,7,8-Pentachlorodibenzofuran",3.6,ng/kg,3.6,N,Yes,-73.859717,40.590383
43,Newark Bay Diamond Alkali,2013-08-21 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,57117-41-6,"1,2,3,7,8-Pentachlorodibenzofuran",3.6,ng/kg,3.6,N,Yes,-73.859717,40.590383
44,Newark Bay Diamond Alkali,2013-08-21 08:00:00,2013 EPA-DESA Post Hurricane Sandy Grab,E1613B,57117-44-9,"1,2,3,6,7,8-Hexachlorodibenzofuran",3.6,ng/kg,3.6,N,Yes,-73.859717,40.590383
