,LOC_NAME,SAMPLE_DATE,TASK_CODE,ANALYTIC_METHOD,CAS_RN,CHEMICAL_NAME,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,DETECT_FLAG,REPORTABLE_RESULT,LONGITUDE,LATITUDE
30,Grab-2,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,30402-15-4,"Pentachlorinated Dibenzofurans, (Total)",0.52,ug/kg,,Y,Yes,-74.127245,40.74245
31,Grab-2,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,3268-87-9,Octachlorodibenzo-p-dioxin,9.4,ug/kg,,Y,Yes,-74.127245,40.74245
32,Grab-2,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,34465-46-8,"Hexachlorinated Dibenzo-p-dioxins, (Total)",0.19,ug/kg,,Y,Yes,-74.127245,40.74245
33,Grab-2,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,35822-46-9,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",0.73,ug/kg,,Y,Yes,-74.127245,40.74245
34,Grab-2,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,36088-22-9,"Pentachlorinated Dibenzo-p-dioxins, (Total)",0.021,ug/kg,,Y,Yes,-74.127245,40.74245
35,Grab-2,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,37871-00-4,"Heptachlorinated Dibenzo-p-dioxins, (Total)",1.6,ug/kg,,Y,Yes,-74.127245,40.74245
36,Grab-2,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,38998-75-3,"Heptachlorinated Dibenzofurans, (Total)",1.4,ug/kg,,Y,Yes,-74.127245,40.74245
37,Grab-2,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,39001-02-0,Octachlorodibenzofuran,1.2,ug/kg,,Y,Yes,-74.127245,40.74245
38,Grab-2,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,39227-28-6,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",0.0093,ug/kg,,Y,Yes,-74.127245,40.74245
39,Grab-2,9/14/1995,1995 Sediment Grab Sampling Program,DDX/DDF,40321-76-4,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",0.01,ug/kg,0.01,N,Yes,-74.127245,40.74245
