,LOC_NAME,SAMPLE_DATE,TASK_CODE,ANALYTIC_METHOD,CAS_RN,CHEMICAL_NAME,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,DETECT_FLAG,REPORTABLE_RESULT,LONGITUDE,LATITUDE
33,606-45-46,7/18/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,168,ppm,,Y,Yes,-74.120668,40.724636
34,607-41-42,7/17/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,56,ppm,,Y,Yes,-74.120529,40.724322
35,607-41-42,7/17/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,92,ppm,,Y,Yes,-74.120529,40.724322
36,607-43-44,7/18/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,78,ppm,,Y,Yes,-74.120184,40.724642
37,607-43-44,7/18/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,96,ppm,,Y,Yes,-74.120184,40.724642
38,607-45-46,7/18/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,92,ppm,,Y,Yes,-74.120305,40.724453
39,607-45-46,7/18/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,121,ppm,,Y,Yes,-74.120305,40.724453
40,608-41-42,7/17/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,78,ppm,,Y,Yes,-74.119938,40.724281
41,608-41-42,7/17/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,102,ppm,,Y,Yes,-74.119938,40.724281
42,608-43-44,7/18/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,99,ppm,,Y,Yes,-74.11964,40.724615
43,608-43-44,7/18/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,120,ppm,,Y,Yes,-74.11964,40.724615
44,608-45-46,7/18/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,67,ppm,,Y,Yes,-74.119826,40.72427
45,608-45-46,7/18/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,81,ppm,,Y,Yes,-74.119826,40.72427
46,609-41-42,7/17/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,74,ppm,,Y,Yes,-74.119549,40.724167
47,609-41-42,7/17/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,100,ppm,,Y,Yes,-74.119549,40.724167
48,609-43-44,7/18/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,163,ppm,,Y,Yes,-74.119391,40.724506
49,609-43-44,7/18/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,30,ppm,,Y,Yes,-74.119391,40.724506
50,609-45-46,7/18/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,49,ppm,,Y,Yes,-74.119559,40.724252
51,609-45-46,7/18/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,80,ppm,,Y,Yes,-74.119559,40.724252
52,610-41-42,7/17/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,63,ppm,,Y,Yes,-74.118988,40.724038
53,610-41-42,7/17/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,68,ppm,,Y,Yes,-74.118988,40.724038
54,610-43-44,7/18/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,79,ppm,,Y,Yes,-74.119177,40.72431
55,610-43-44,7/18/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,78,ppm,,Y,Yes,-74.119177,40.72431
56,610-45-46,7/18/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,53,ppm,,Y,Yes,-74.119262,40.724047
57,610-45-46,7/18/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,91,ppm,,Y,Yes,-74.119262,40.724047
58,611-41-42,7/19/1995,1995-96 Passaic Study RI/FS Sed Mobility,PHYSICAL PROPERTY,TSS,Total Suspended Solids,34,ppm,,Y,Yes,-74.152433,40.733716
